ID_Profesor;FacultyQualificationSA_PA_SP_IP;UnidadAcademica;Sexo;Nacionalidad
317;O;PROFESOR INTERNO;MASCULINO;DESCONOCIDA
318;SP;PROFESOR INTERNO;FEMENINO;CHILENA
319;IP;PROFESOR INTERNO;FEMENINO;MEXICANA
320;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
321;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
322;PA;PROFESOR INTERNO;MASCULINO;CHILENA
323;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
324;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
325;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
326;SA;PROFESOR INTERNO;FEMENINO;CHILENA
327;IP;PROFESOR INTERNO;FEMENINO;CHILENA
328;IP;PROFESOR INTERNO;FEMENINO;CHILENA
329;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
330;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
331;IP;PROFESOR INTERNO;FEMENINO;CHILENA
332;SA;PROFESOR INTERNO;MASCULINO;CHILENA
333;IP;PROFESOR INTERNO;MASCULINO;CHILENA
334;PA;PROFESOR INTERNO;MASCULINO;CHILENA
335;IP;PROFESOR INTERNO;MASCULINO;CHILENA
336;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
337;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
338;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
339;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
340;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
341;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;DESCONOCIDA
342;SA;PROFESOR INTERNO;FEMENINO;MEXICANA
343;SP;PROFESOR INTERNO;FEMENINO;CHILENA
344;SA;PROFESOR INTERNO;MASCULINO;CHILENA
345;SA;PROFESOR INTERNO;MASCULINO;CHILENA
346;SA;PROFESOR INTERNO;FEMENINO;CHILENA
347;IP;PROFESOR INTERNO;FEMENINO;CHILENA
348;IP;PROFESOR INTERNO;MASCULINO;CHILENA
349;O;PROFESOR INTERNO;MASCULINO;CHILENA
350;IP;PROFESOR INTERNO;FEMENINO;ARGENTINA
351;IP;PROFESOR INTERNO;FEMENINO;CHILENA
352;SA;PROFESOR INTERNO;FEMENINO;CHILENA
353;IP;PROFESOR INTERNO;FEMENINO;CHILENA
354;SA;PROFESOR INTERNO;FEMENINO;CHILENA
355;IP;PROFESOR INTERNO;FEMENINO;CHILENA
356;IP;PROFESOR INTERNO;MASCULINO;CHILENA
357;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;DESCONOCIDA
