SI FULL,sobre_60,sobre_90,seleable
22615,"0,2232","0,0817","0,9513"
31301,"0,2275","0,0826","0,9447"
34333,"0,2336","0,0837","0,9516"
32768,"0,2403","0,0851","0,9578"
32864,"0,2388","0,0848","0,9593"
18360,"0,2382","0,0868","0,9652"
13638,"0,2388","0,0879","0,9586"
12570,"0,2404","0,0886","0,9495"
19796,"0,2464","0,0908","0,9404"
31803,"0,2505","0,0909","0,9448"
33708,"0,2527","0,0924","0,9508"
36769,"0,2538","0,0963","0,9542"
35091,"0,2505","0,0982","0,957"
29501,"0,2471","0,098","0,955"
21937,"0,2449","0,0986","0,9534"
27396,"0,256","0,1014","0,9528"
36085,"0,2629","0,1018","0,9565"
34860,"0,2655","0,1064","0,9574"
33589,"0,2642","0,1083","0,959"
35593,"0,2602","0,1117","0,9591"
29503,"0,2565","0,1132","0,9604"
20846,"0,2597","0,1137","0,96"
29412,"0,2643","0,1133","0,9529"
81180,"0,2709","0,1157","0,9402"
67366,"0,2823","0,1215","0,942"
63232,"0,2859","0,1294","0,9371"
44779,"0,2854","0,1337","0,9408"
31050,"0,2807","0,1363","0,9427"
21726,"0,2786","0,1356","0,9406"
22938,"0,2804","0,1349","0,9395"
31628,"0,2813","0,1343","0,9438"
35352,"0,2748","0,1247","0,9449"
36209,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
33530,"0,2608","0,1271","0,9412"
29513,"0,2562","0,1263","0,9353"
21850,"0,2561","0,1289","0,9352"
29209,"0,2593","0,129","0,9316"
38255,"0,2659","0,1286","0,9309"
35750,"0,2613","0,1275","0,9276"
37048,"0,2626","0,1306","0,9286"
35394,"0,2488","0,1223","0,9218"
26843,"0,2484","0,1264","0,9233"
20664,"0,2505","0,1285","0,9234"
28947,"0,2542","0,1287","0,9207"
36661,"0,2549","0,1258","0,9187"
36179,"0,2559","0,1272","0,9212"
34423,"0,2617","0,1332","0,931"
32363,"0,2643","0,1379","0,9362"
28020,"0,2615","0,141","0,9289"
18971,"0,2595","0,1405","0,9229"
19277,"0,2623","0,1404","0,922"
30709,"0,2638","0,1432","0,9241"
39772,"0,2638","0,1463","0,9285"
40531,"0,236","0,127","0,9071"
40193,"0,2325","0,1287","0,9062"
31688,"0,2303","0,1293","0,905"
23986,"0,2302","0,1279","0,9017"
30469,"0,2362","0,1282","0,8958"
39336,"0,2381","0,1283","0,9022"
41828,"0,2437","0,1308","0,9054"
42722,"0,2452","0,1338","0,9109"
36829,"0,2459","0,1377","0,9173"
32179,"0,2411","0,1362","0,9205"
24477,"0,2405","0,1347","0,9176"
29731,"0,24","0,1324","0,912"
38528,"0,2421","0,131","0,9154"
39232,"0,2463","0,1307","0,9195"
38997,"0,2439","0,1347","0,9268"
35632,"0,238","0,1358","0,9299"
31551,"0,2297","0,1328","0,9301"
23893,"0,2306","0,1324","0,9282"
23832,"0,2126","0,1142","0,9012"
37788,"0,2129","0,1137","0,927"
40105,"0,2191","0,1123","0,9281"
39260,"0,2218","0,1174","0,9385"
38447,"0,224","0,1187","0,9478"
50085,"0,2172","0,1188","0,9494"
36468,"0,2194","0,1213","0,9508"
47721,"0,2261","0,1223","0,9412"
55108,"0,2322","0,1227","0,941"
49283,"0,2378","0,1248","0,9385"
48652,"0,2403","0,1253","0,9398"
47723,"0,2401","0,1248","0,9349"
39155,"0,2375","0,1226","0,9336"
32374,"0,2361","0,1218","0,931"
39009,"0,236","0,1217","0,9185"
43526,"0,2127","0,1088","0,8887"
38150,"0,2118","0,1102","0,913"
44038,"0,2115","0,1118","0,9161"
46624,"0,2095","0,1111","0,9109"
39739,"0,2106","0,1138","0,922"
35610,"0,2117","0,1146","0,9169"
42235,"0,2149","0,1134","0,9095"
51260,"0,2168","0,1143","0,9087"
42209,"0,2202","0,1153","0,909"
45344,"0,2227","0,1187","0,9142"
43822,"0,222","0,1202","0,9159"
