ME2;Share_Free_Shipping_SI;Share_Drop_Shipping_SI;Share_XDM_SI;Share_Fulfillment_SI;Share_Flex_SI;Share_Logistic_SI;Share_Logistic_SI_melinet;Shipments_Delivered_Same_Day;Shipments_Delivered_Next_Day;Shipments_Delivered 2_Days;Shipments_Delivered_menor2days;Unique_Receivers;Unique_Shippers;D1;D2;D3;D4;D5;D6;D7;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;Casos_confirmados_mms;Positividad_mms;Casos_activos;Casos_recuperados;fin_mes;feriado
78484;0,493183324;0,90135569;0;0,015124102;0,083520208;0;0;0,023931168;0,572147002;0,187340759;0,783418929;44410;6552;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3005,7;0,2178;26131;276100;0;0
80619;0,497277317;0,900618961;0;0,018506804;0,080874236;0;0;0,024625647;0,126939831;0,624680098;0,776245576;44995;6680;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3096,4;0,2095;25861;278604;0;0
73047;0,492313168;0,895683601;0;0,014511205;0,089805194;0;0;0,026259904;0,156563512;0,286867119;0,469690534;40912;6479;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3026,4;0,2031;25458;281243;0;0
66816;0,495150862;0,9088392;0;0,015714799;0,075446001;0;0;0,030846627;0,163086649;0,333669822;0,527603098;37391;6281;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2883,1;0,1952;25010;284180;0;0
58701;0,468152161;0,916713514;0;0,018619785;0,064666701;0;0;0,148815675;0,341201273;0,255342896;0,745359845;33441;6006;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2787;0,1857;23732;287448;0;0
64654;0,46707087;0,90110434;0;0,018560337;0,080335323;0;0;0,46331058;0,163822526;0,152730375;0,779863481;36930;6118;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2728,6;0,1789;23217;289864;0;0
79724;0,487256033;0,89664342;0;0,019291556;0,084065024;0;0;0,16129942;0,193908307;0,298309626;0,653517353;44546;6732;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2639,1;0,1739;22968;292466;0;0
72359;0,493829379;0,891900109;0;0,020398292;0,087701599;0;0;0,023974266;0,586713057;0,196638876;0,8073262;40736;6417;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2588,9;0,1662;22851;294793;0;0
66234;0,494942175;0,886312166;0;0,022390313;0,091297521;0;0;0,026517152;0,134278633;0,626240875;0,787036661;37043;6296;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2494,9;0,1581;22711;297007;0;0
67156;0,467106439;0,88846864;0;0,020266246;0,091265114;0;0;0,222707424;0,19511711;0,396585947;0,81441048;37989;6272;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2463,7;0,1521;21622;299807;0;1
69607;0,495338113;0,900555979;0;0,020529544;0,078914477;0;0;0,111672223;0,136382951;0,303262078;0,551317252;38206;6525;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2382,3;0,1491;21416;302231;0;0
59493;0,471416805;0,910090263;0;0,022960685;0,066949053;0;0;0,384394666;0,266034106;0,164563566;0,814992338;33779;6108;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2249,4;0,1452;21091;304465;0;0
68300;0,464802343;0,890439239;0;0,025241581;0,08431918;0;0;0,677644711;0,148702595;0,065868264;0,892215569;38118;6411;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2175,6;0,1417;20468;306701;0;0
82980;0,49252832;0,88637021;0;0,02516269;0,088467101;0;0;0,140400237;0,421104169;0,215992939;0,777497345;45885;7078;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2149,9;0,1386;20347;309190;0;0
79670;0,481937994;0,876088867;0;0,028115978;0,095795155;0;0;0,02381766;0,56528342;0,269347103;0,858448182;43618;6819;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2154;0,136;20330;311180;0;0
74339;0,488465005;0,869947134;0;0,02428066;0,105772206;0;0;0,027231892;0,125274361;0,613138686;0,765644939;40803;6623;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2139,1;0,1354;20348;313081;0;0
73907;0,492172595;0,857726602;0;0,029685957;0,112587441;0;0;0,036239176;0,160370167;0,315815953;0,512425296;40494;6714;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2097;0,1328;20028;315434;0;0
66258;0,487986356;0,866914184;0;0,031875396;0,10121042;0;0;0,041419814;0,194325537;0,322506079;0,55825143;36003;6408;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2111,6;0,1283;19780;317644;0;0
61473;0,475607177;0,882224717;0;0,03928554;0,078489744;0;0;0,156502925;0,389694687;0,245372225;0,791569837;33649;6220;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2128,1;0,1278;19451;319718;0;0
68806;0,465032119;0,859532599;0;0,038877424;0,101589978;0;0;0,546677215;0,149525317;0,113924051;0,810126582;37426;6501;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2133;0,1248;19207;321429;0;0
81790;0,496270938;0,852671476;0;0,044333048;0,102995476;0;0;0,216429188;0,222582038;0,288896085;0,727907312;43792;6971;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2164,4;0,1206;19202;323647;0;0
83186;0,49472267;0,852391027;0;0,043420768;0,104188205;0;0;0,031797137;0,636993774;0,182813581;0,851604492;45185;7093;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2169;0,117;19170;325556;0;0
89288;0,498308843;0,849341457;0;0,04650121;0,104157334;0;0;0,035095898;0,159869473;0,634829515;0,829794886;47611;7194;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2108,6;0,1124;19341;327169;0;0
87832;0,506136716;0,843508061;0;0,044391566;0,112100373;0;0;0,041495526;0,208633318;0,342537209;0,592666052;46088;7198;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2048,3;0,1081;18850;329537;1;0
83850;0,505915325;0,857352415;0;0,047763864;0,094883721;0;0;0,05016195;0,219301667;0,372348183;0,641811799;44039;7139;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2004,3;0,1041;18787;331510;1;0
82030;0,489601365;0,876813361;0;0,047763014;0,075423626;0;0;0,174988399;0,3812529;0,267146172;0,823387471;43473;7057;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1987,6;0,0986;18783;333429;1;0
88675;0,484555963;0,859983084;0;0,044758951;0,095257965;0;0;0,640557006;0,162750218;0,095735422;0,899042646;47093;7318;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1934,6;0,0947;18303;335462;1;0
105127;0,503543333;0,849477299;0;0,048408116;0,102114585;0;0;0,215110916;0,233369939;0,311033019;0,759513874;55355;7789;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1875,4;0,0909;18434;337424;1;0
100486;0,498716239;0,842654698;0;0,049439723;0,107905579;0;0;0,036213274;0,636359353;0,187027307;0,859599934;53123;7658;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1876,6;0,0867;18601;339169;1;0
99179;0,508131762;0,84188185;0;0,045987558;0,112130592;0;0;0,037397915;0,15021535;0,647426393;0,835039657;51700;7559;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1876,4;0,0838;18957;340636;1;0
98486;0,506853766;0,834189631;0;0,048179437;0,117630932;0;0;0,03782206;0,171437017;0,291935563;0,50119464;51375;7415;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1880,1;0,0823;18606;342849;0;0
77675;0,522034117;0,8441841;0;0,052075958;0,103739942;0;0;0,043493264;0,191309629;0,311271533;0,546074426;40355;6802;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1911,9;0,0812;18584;344726;0;0
98926;0,509259447;0,87156056;0;0,055768959;0,072670481;0;0;0,132150175;0,377175008;0,264439273;0,773764457;51155;7463;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1905,4;0,0813;18295;346510;0;0
110976;0,493394968;0,861717849;0;0,049298948;0,088983204;0;0;0,719905586;0,114083399;0,088906373;0,922895358;57419;7735;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1937,7;0,0795;17702;348387;0;0
128174;0,518030178;0,851264687;0;0,048730632;0,100004681;0;0;0,236542373;0,192962712;0,299715254;0,729220339;65214;8318;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1952,6;0,0801;17843;350297;0;0
128626;0,522810318;0,838734004;0;0,053628349;0,107637647;0;0;0,039517943;0,666845206;0,144799143;0,851162292;65186;8224;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1918,1;0,0791;17734;352212;0;0
126426;0,533118188;0,82838973;0;0,052900511;0,118709759;0;0;0,043793073;0,144304706;0,663907367;0,852005146;64032;8316;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1904,6;0,0785;17919;353765;0;0
118955;0,539540162;0,826119121;0;0,049514522;0,124366357;0;0;0,049278044;0,165027652;0,280605109;0,494910805;60053;8058;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1894,3;0,0775;17420;355858;0;0
111965;0,547090609;0,844924753;0;0,051274952;0,103800295;0;0;0,056368952;0,181402175;0,293053838;0,530824965;55388;7943;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1833,7;0,0761;17274;357770;0;0
110242;0,526995156;0,880381343;0;0,051940277;0,06767838;0;0;0,151703613;0,291846312;0,246289443;0,689839368;55641;7825;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1840,9;0,0734;16855;359593;0;1
108345;0,519184088;0,859855093;0;0,048022521;0,092122387;0;0;0,498187092;0,097897027;0,109499637;0,705583756;55957;7820;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1779,1;0,0728;16285;361455;0;0
148447;0,538124718;0,856750221;0;0,044359266;0,098890513;0;0;0,193707751;0,170528103;0,266444648;0,630680502;73894;8822;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1746,3;0,0707;16413;363310;0;0
132597;0,531814445;0,851655769;0;0,044639019;0,103705212;0;0;0,037799531;0,541694298;0,175526808;0,755020637;66348;8519;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1702,4;0,0689;16826;364805;0;0
129336;0,541836766;0,835482774;0;0,055583906;0,108933321;0;0;0,03797984;0,129580507;0,579474402;0,747034749;64461;8384;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1696,9;0,0667;17305;366089;0;0
126916;0,542776325;0,824466576;0;0,063498692;0,112034732;0;0;0,04112161;0,156894757;0,21841391;0,416430277;62257;8221;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1674,4;0,0653;17155;368140;0;0
111711;0,539284404;0,842996661;0;0,065588886;0,091414453;0;0;0,044223032;0,158547594;0,239582289;0,442352915;55698;7912;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1695,7;0,0641;17104;369946;0;0
102155;0,520424845;0,858479761;0;0,06588028;0,075639959;0;0;0,109105099;0,260301769;0,226118626;0,595525494;51406;7669;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1675,1;0,0645;16791;371684;0;0
115558;0,503920109;0,839898579;0;0,062340989;0,097760432;0;0;0,366814159;0,17079646;0,14380531;0,681415929;58256;8059;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1724,7;0,0635;16553;373278;0;0
134548;0,528354193;0,826783007;0;0,06586497;0,107352023;0;0;0,199211066;0,159640757;0,228605564;0,587457386;66140;8523;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1734,7;0,0646;16858;375044;0;0
131035;0,532178426;0,825626741;0;0,070523143;0,103850116;0;0;0,036015974;0,503542706;0,161234518;0,700793198;64142;8421;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1754,4;0,0646;17392;376448;0;0
123286;0,532736888;0,805492919;0;0,083277907;0,111229174;0;0;0,038367282;0,143269603;0,529492306;0,711129191;60162;8287;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1743,9;0,0651;18014;377740;0;0
124286;0,53151602;0,811957904;0;0,075792929;0,112249167;0;0;0,043874818;0,151489909;0,218066598;0,413431325;60588;8372;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1736,4;0,0645;17867;379723;0;0
112493;0,539998044;0,826958122;0;0,078458215;0,094583663;0;0;0,047115671;0,173799439;0,228789596;0,449704707;54384;7995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1751,7;0,0637;17949;381631;0;0
102835;0,505586619;0,845723732;0;0,078659989;0,075616279;0;0;0,112046897;0,249897604;0,208631989;0,57057649;50846;7909;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1755,1;0,0635;17711;383394;0;0
109471;0,490056727;0,82656594;0;0,076595628;0,096838432;0;0;0,39278279;0,229354615;0,121443442;0,743580847;53815;8024;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1733,7;0,0629;17137;385295;1;0
210716;0,602322557;0,813958124;0;0,097102261;0,088939615;0;0;0,225953794;0,16384061;0,206750742;0,596545146;108952;9431;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1735;0,0608;17509;387050;1;0
192164;0,569362628;0,828250869;0;0,072802398;0,098946733;0;0;0,049421836;0,514936724;0,133543279;0,697901839;98708;9210;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1765,1;0,0603;18106;388475;1;0
182270;0,561008394;0,82722335;0;0,070269381;0,102507269;0;0;0,044809998;0,175378466;0,523169166;0,74335763;95098;9011;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1767,9;0,0606;18677;389831;1;0
142003;0,531256382;0,828940234;0;0,060386048;0,110673718;0;0;0,03697333;0,160075817;0,214408577;0,411457725;72025;8569;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1781,7;0,0606;18508;391902;1;0
112918;0,533555323;0,853256345;0;0,06192104;0,084822615;0;0;0,03516929;0,12786123;0,210504803;0,373535323;57318;7915;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1771,4;0,0605;18575;393840;1;0
84430;0,514366931;0,825914959;0;0,066220538;0,107864503;0;0;0,065450048;0,195579298;0,248821326;0,509850671;43465;7037;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1787,3;0,0596;18201;395754;1;0
77854;0,504546973;0,818686259;0;0,062694274;0,118619467;0;0;0,183140878;0,166743649;0,212009238;0,561893764;39393;6901;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1788,9;0,06;17649;397590;0;0
97921;0,524769968;0,818292297;0;0,053522738;0,128184965;0;0;0,17966844;0,114726233;0,183907931;0,478302604;47658;7638;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1767,1;0,0603;17689;399580;0;0
